"word","pos","level","source"
"married","adjective","A1","Oxford 3000"
"match","noun","A1","Oxford 3000"
"match","verb","A1","Oxford 3000"
"may","noun","A1","Oxford 3000"
"maybe","adverb","A1","Oxford 3000"
"me","pronoun","A1","Oxford 3000"
"meal","noun","A1","Oxford 3000"
"mean","verb","A1","Oxford 3000"
"meaning","noun","A1","Oxford 3000"
"meat","noun","A1","Oxford 3000"
"meet","verb","A1","Oxford 3000"
"meeting","noun","A1","Oxford 3000"
"member","noun","A1","Oxford 3000"
"menu","noun","A1","Oxford 3000"
"message","noun","A1","Oxford 3000"
"metre","noun","A1","Oxford 3000"
"midnight","noun","A1","Oxford 3000"
"mile","noun","A1","Oxford 3000"
"milk","noun","A1","Oxford 3000"
"million","number","A1","Oxford 3000"
"minute","noun","A1","Oxford 3000"
"miss","verb","A1","Oxford 3000"
"mistake","noun","A1","Oxford 3000"
"model","noun","A1","Oxford 3000"
"modern","adjective","A1","Oxford 3000"
"moment","noun","A1","Oxford 3000"
"monday","noun","A1","Oxford 3000"
"money","noun","A1","Oxford 3000"
"month","noun","A1","Oxford 3000"
"more","adverb","A1","Oxford 3000"
"more","determiner","A1","Oxford 3000"
"more","pronoun","A1","Oxford 3000"
"morning","noun","A1","Oxford 3000"
"most","adverb","A1","Oxford 3000"
"most","determiner","A1","Oxford 3000"
"most","pronoun","A1","Oxford 3000"
"mother","noun","A1","Oxford 3000"
"mountain","noun","A1","Oxford 3000"
"mouse","noun","A1","Oxford 3000"
"mouth","noun","A1","Oxford 3000"
"move","verb","A1","Oxford 3000"
"movie","noun","A1","Oxford 3000"
"much","adverb","A1","Oxford 3000"
"much","determiner","A1","Oxford 3000"
"much","pronoun","A1","Oxford 3000"
"mum","noun","A1","Oxford 3000"
"museum","noun","A1","Oxford 3000"
"music","noun","A1","Oxford 3000"
"must","modal verb","A1","Oxford 3000"
"my","determiner","A1","Oxford 3000"
"name","noun","A1","Oxford 3000"
"name","verb","A1","Oxford 3000"
"natural","adjective","A1","Oxford 3000"
"near","adjective","A1","Oxford 3000"
"near","adverb","A1","Oxford 3000"
"near","preposition","A1","Oxford 3000"
"need","verb","A1","Oxford 3000"
"negative","adjective","A1","Oxford 3000"
"neighbour","noun","A1","Oxford 3000"
"never","adverb","A1","Oxford 3000"
"new","adjective","A1","Oxford 3000"
"news","noun","A1","Oxford 3000"
"newspaper","noun","A1","Oxford 3000"
"next","adjective","A1","Oxford 3000"
"next","adverb","A1","Oxford 3000"
"next to","preposition","A1","Oxford 3000"
"nice","adjective","A1","Oxford 3000"
"night","noun","A1","Oxford 3000"
"nine","number","A1","Oxford 3000"
"nineteen","number","A1","Oxford 3000"
"ninety","number","A1","Oxford 3000"
"no","determiner","A1","Oxford 3000"
"no","exclamation","A1","Oxford 3000"
"no one","pronoun","A1","Oxford 3000"
"nobody","pronoun","A1","Oxford 3000"
"north","adjective","A1","Oxford 3000"
"north","adverb","A1","Oxford 3000"
"north","noun","A1","Oxford 3000"
"nose","noun","A1","Oxford 3000"
"not","adverb","A1","Oxford 3000"
"note","noun","A1","Oxford 3000"
"nothing","pronoun","A1","Oxford 3000"
"november","noun","A1","Oxford 3000"
"now","adverb","A1","Oxford 3000"
"number","noun","A1","Oxford 3000"
"nurse","noun","A1","Oxford 3000"
"object","noun","A1","Oxford 3000"
"o'clock","adverb","A1","Oxford 3000"
"october","noun","A1","Oxford 3000"
"of","preposition","A1","Oxford 3000"
"off","adverb","A1","Oxford 3000"
"off","preposition","A1","Oxford 3000"
"office","noun","A1","Oxford 3000"
"often","adverb","A1","Oxford 3000"
"oh","exclamation","A1","Oxford 3000"
"ok","adjective","A1","Oxford 3000"
"ok","adverb","A1","Oxford 3000"
"ok","exclamation","A1","Oxford 3000"
"old","adjective","A1","Oxford 3000"
"on","adverb","A1","Oxford 3000"
"on","preposition","A1","Oxford 3000"
"once","adverb","A1","Oxford 3000"
"one","determiner","A1","Oxford 3000"
"one","number","A1","Oxford 3000"
"one","pronoun","A1","Oxford 3000"
"onion","noun","A1","Oxford 3000"
"online","adjective","A1","Oxford 3000"
"online","adverb","A1","Oxford 3000"
"only","adjective","A1","Oxford 3000"
"only","adverb","A1","Oxford 3000"
"open","adjective","A1","Oxford 3000"
"open","verb","A1","Oxford 3000"
"opinion","noun","A1","Oxford 3000"
"opposite","adjective","A1","Oxford 3000"
"opposite","adverb","A1","Oxford 3000"
"opposite","noun","A1","Oxford 3000"
"opposite","preposition","A1","Oxford 3000"
"or","conjunction","A1","Oxford 3000"
"orange","adjective","A1","Oxford 3000"
"orange","noun","A1","Oxford 3000"
"order","noun","A1","Oxford 3000"
"order","verb","A1","Oxford 3000"
"other","adjective","A1","Oxford 3000"
"other","pronoun","A1","Oxford 3000"
"our","determiner","A1","Oxford 3000"
"out","adverb","A1","Oxford 3000"
"out","preposition","A1","Oxford 3000"
"outside","adverb","A1","Oxford 3000"
"over","adverb","A1","Oxford 3000"
"over","preposition","A1","Oxford 3000"
"own","adjective","A1","Oxford 3000"
"own","pronoun","A1","Oxford 3000"
"page","noun","A1","Oxford 3000"
"paint","noun","A1","Oxford 3000"
"paint","verb","A1","Oxford 3000"
"painting","noun","A1","Oxford 3000"
"pair","noun","A1","Oxford 3000"
"paper","noun","A1","Oxford 3000"
"paragraph","noun","A1","Oxford 3000"
"parent","noun","A1","Oxford 3000"
"park","noun","A1","Oxford 3000"
"park","verb","A1","Oxford 3000"
"part","noun","A1","Oxford 3000"
"partner","noun","A1","Oxford 3000"
"party","noun","A1","Oxford 3000"
"passport","noun","A1","Oxford 3000"
"past","adjective","A1","Oxford 3000"
"past","noun","A1","Oxford 3000"
"past","preposition","A1","Oxford 3000"
"pay","verb","A1","Oxford 3000"
"pen","noun","A1","Oxford 3000"
"pencil","noun","A1","Oxford 3000"
"people","noun","A1","Oxford 3000"
"pepper","noun","A1","Oxford 3000"
"perfect","adjective","A1","Oxford 3000"
"period","noun","A1","Oxford 3000"
"person","noun","A1","Oxford 3000"
"personal","adjective","A1","Oxford 3000"
"phone","noun","A1","Oxford 3000"
"phone","verb","A1","Oxford 3000"
"photo","noun","A1","Oxford 3000"
"photograph","noun","A1","Oxford 3000"
"phrase","noun","A1","Oxford 3000"
"piano","noun","A1","Oxford 3000"
"picture","noun","A1","Oxford 3000"
"piece","noun","A1","Oxford 3000"
"pig","noun","A1","Oxford 3000"
"pink","adjective","A1","Oxford 3000"
"pink","noun","A1","Oxford 3000"
"place","noun","A1","Oxford 3000"
"plan","noun","A1","Oxford 3000"
"plan","verb","A1","Oxford 3000"
"plane","noun","A1","Oxford 3000"
"plant","noun","A1","Oxford 3000"
"play","noun","A1","Oxford 3000"
"play","verb","A1","Oxford 3000"
"player","noun","A1","Oxford 3000"
"please","exclamation","A1","Oxford 3000"
"point","noun","A1","Oxford 3000"
"police","noun","A1","Oxford 3000"
"policeman","noun","A1","Oxford 3000"
"pool","noun","A1","Oxford 3000"
"poor","adjective","A1","Oxford 3000"
"popular","adjective","A1","Oxford 3000"
"positive","adjective","A1","Oxford 3000"
"possible","adjective","A1","Oxford 3000"
"post","noun","A1","Oxford 3000"
"post","verb","A1","Oxford 3000"
"potato","noun","A1","Oxford 3000"
"pound","noun","A1","Oxford 3000"
"practice","noun","A1","Oxford 3000"
"practise","verb","A1","Oxford 3000"
"prefer","verb","A1","Oxford 3000"
"prepare","verb","A1","Oxford 3000"
"present","adjective","A1","Oxford 3000"
"present","noun","A1","Oxford 3000"
"pretty","adjective","A1","Oxford 3000"
"pretty","adverb","A1","Oxford 3000"
"price","noun","A1","Oxford 3000"
"probably","adverb","A1","Oxford 3000"
"problem","noun","A1","Oxford 3000"
"product","noun","A1","Oxford 3000"
"programme","noun","A1","Oxford 3000"
"project","noun","A1","Oxford 3000"
"purple","adjective","A1","Oxford 3000"
"purple","noun","A1","Oxford 3000"
"put","verb","A1","Oxford 3000"
"quarter","noun","A1","Oxford 3000"
"question","noun","A1","Oxford 3000"
"quick","adjective","A1","Oxford 3000"
"quickly","adverb","A1","Oxford 3000"
"quiet","adjective","A1","Oxford 3000"
"quite","adverb","A1","Oxford 3000"
"radio","noun","A1","Oxford 3000"
"rain","noun","A1","Oxford 3000"
"rain","verb","A1","Oxford 3000"
"read","verb","A1","Oxford 3000"
"reader","noun","A1","Oxford 3000"
"reading","noun","A1","Oxford 3000"
"ready","adjective","A1","Oxford 3000"
"real","adjective","A1","Oxford 3000"
"really","adverb","A1","Oxford 3000"
"reason","noun","A1","Oxford 3000"
"red","adjective","A1","Oxford 3000"
"red","noun","A1","Oxford 3000"
"relax","verb","A1","Oxford 3000"
"remember","verb","A1","Oxford 3000"
"repeat","verb","A1","Oxford 3000"
"report","noun","A1","Oxford 3000"
"restaurant","noun","A1","Oxford 3000"
"result","noun","A1","Oxford 3000"
"return","noun","A1","Oxford 3000"
"return","verb","A1","Oxford 3000"
"rice","noun","A1","Oxford 3000"
"rich","adjective","A1","Oxford 3000"
"ride","verb","A1","Oxford 3000"
"right","adjective","A1","Oxford 3000"
"right","adverb","A1","Oxford 3000"
"right","noun","A1","Oxford 3000"
"river","noun","A1","Oxford 3000"
"road","noun","A1","Oxford 3000"
"room","noun","A1","Oxford 3000"
"routine","noun","A1","Oxford 3000"
"rule","noun","A1","Oxford 3000"
"run","verb","A1","Oxford 3000"
"sad","adjective","A1","Oxford 3000"
"salad","noun","A1","Oxford 3000"
"salt","noun","A1","Oxford 3000"
"same","adjective","A1","Oxford 3000"
"same","adverb","A1","Oxford 3000"
"same","pronoun","A1","Oxford 3000"
"sandwich","noun","A1","Oxford 3000"
"saturday","noun","A1","Oxford 3000"
"say","verb","A1","Oxford 3000"
"school","noun","A1","Oxford 3000"
"science","noun","A1","Oxford 3000"
"scientist","noun","A1","Oxford 3000"
"sea","noun","A1","Oxford 3000"
"second","determiner","A1","Oxford 3000"
"second","noun","A1","Oxford 3000"
"second","ordinal number","A1","Oxford 3000"
"section","noun","A1","Oxford 3000"
"see","verb","A1","Oxford 3000"
"sell","verb","A1","Oxford 3000"
"send","verb","A1","Oxford 3000"
"sentence","noun","A1","Oxford 3000"
"september","noun","A1","Oxford 3000"
"seven","number","A1","Oxford 3000"
"seventeen","number","A1","Oxford 3000"
"seventy","number","A1","Oxford 3000"
"share","verb","A1","Oxford 3000"
"she","pronoun","A1","Oxford 3000"
"sheep","noun","A1","Oxford 3000"
"shirt","noun","A1","Oxford 3000"
"shoe","noun","A1","Oxford 3000"
"shop","noun","A1","Oxford 3000"
"shop","verb","A1","Oxford 3000"
"shopping","noun","A1","Oxford 3000"
"short","adjective","A1","Oxford 3000"
"should","modal verb","A1","Oxford 3000"
"show","noun","A1","Oxford 3000"
"show","verb","A1","Oxford 3000"
"shower","noun","A1","Oxford 3000"
"sick","adjective","A1","Oxford 3000"
"similar","adjective","A1","Oxford 3000"
"sing","verb","A1","Oxford 3000"
"singer","noun","A1","Oxford 3000"
"sister","noun","A1","Oxford 3000"
"sit","verb","A1","Oxford 3000"
"situation","noun","A1","Oxford 3000"
"six","number","A1","Oxford 3000"
"sixteen","number","A1","Oxford 3000"
"sixty","number","A1","Oxford 3000"
"skill","noun","A1","Oxford 3000"
"skirt","noun","A1","Oxford 3000"
"sleep","verb","A1","Oxford 3000"
"slow","adjective","A1","Oxford 3000"
"small","adjective","A1","Oxford 3000"
"snake","noun","A1","Oxford 3000"
"snow","noun","A1","Oxford 3000"
"snow","verb","A1","Oxford 3000"
"so","adverb","A1","Oxford 3000"
"so","conjunction","A1","Oxford 3000"
"some","determiner","A1","Oxford 3000"
"some","pronoun","A1","Oxford 3000"
"somebody","pronoun","A1","Oxford 3000"
"someone","pronoun","A1","Oxford 3000"
"something","pronoun","A1","Oxford 3000"
"sometimes","adverb","A1","Oxford 3000"
"son","noun","A1","Oxford 3000"
"song","noun","A1","Oxford 3000"
"soon","adverb","A1","Oxford 3000"
"sorry","adjective","A1","Oxford 3000"
"sorry","exclamation","A1","Oxford 3000"
"sound","noun","A1","Oxford 3000"
"sound","verb","A1","Oxford 3000"
"soup","noun","A1","Oxford 3000"
"south","adjective","A1","Oxford 3000"
"south","adverb","A1","Oxford 3000"
"south","noun","A1","Oxford 3000"
"space","noun","A1","Oxford 3000"
"speak","verb","A1","Oxford 3000"
"special","adjective","A1","Oxford 3000"
"spell","verb","A1","Oxford 3000"
"spelling","noun","A1","Oxford 3000"
"spend","verb","A1","Oxford 3000"
"sport","noun","A1","Oxford 3000"
"spring","noun","A1","Oxford 3000"
"stand","verb","A1","Oxford 3000"
"star","noun","A1","Oxford 3000"
"start","verb","A1","Oxford 3000"
"statement","noun","A1","Oxford 3000"
"station","noun","A1","Oxford 3000"
"stay","verb","A1","Oxford 3000"
"still","adverb","A1","Oxford 3000"
"stop","noun","A1","Oxford 3000"
"stop","verb","A1","Oxford 3000"
"story","noun","A1","Oxford 3000"
"street","noun","A1","Oxford 3000"
"strong","adjective","A1","Oxford 3000"
"student","noun","A1","Oxford 3000"
"study","noun","A1","Oxford 3000"
"study","verb","A1","Oxford 3000"
"style","noun","A1","Oxford 3000"
"subject","noun","A1","Oxford 3000"
"success","noun","A1","Oxford 3000"
"sugar","noun","A1","Oxford 3000"
"summer","noun","A1","Oxford 3000"
"sun","noun","A1","Oxford 3000"
"sunday","noun","A1","Oxford 3000"
"supermarket","noun","A1","Oxford 3000"
"sure","adjective","A1","Oxford 3000"
"sweater","noun","A1","Oxford 3000"
"swim","verb","A1","Oxford 3000"
"swimming","noun","A1","Oxford 3000"
"table","noun","A1","Oxford 3000"
"take","verb","A1","Oxford 3000"
"talk","verb","A1","Oxford 3000"
"tall","adjective","A1","Oxford 3000"
"taxi","noun","A1","Oxford 3000"
"tea","noun","A1","Oxford 3000"
"teach","verb","A1","Oxford 3000"
"teacher","noun","A1","Oxford 3000"
"team","noun","A1","Oxford 3000"
"teenager","noun","A1","Oxford 3000"
"telephone","noun","A1","Oxford 3000"
"telephone","verb","A1","Oxford 3000"
"television","noun","A1","Oxford 3000"
"tell","verb","A1","Oxford 3000"
"ten","number","A1","Oxford 3000"
"tennis","noun","A1","Oxford 3000"
"terrible","adjective","A1","Oxford 3000"
"test","noun","A1","Oxford 3000"
"test","verb","A1","Oxford 3000"
"text","noun","A1","Oxford 3000"
"than","conjunction","A1","Oxford 3000"
"than","preposition","A1","Oxford 3000"
"thank","verb","A1","Oxford 3000"
"thanks","exclamation","A1","Oxford 3000"
"thanks","noun","A1","Oxford 3000"
"that","conjunction","A1","Oxford 3000"
"that","determiner","A1","Oxford 3000"
"that","pronoun","A1","Oxford 3000"
"the","definite article","A1","Oxford 3000"
"theatre","noun","A1","Oxford 3000"
"their","determiner","A1","Oxford 3000"
"them","pronoun","A1","Oxford 3000"
"then","adverb","A1","Oxford 3000"
"there","adverb","A1","Oxford 3000"
"they","pronoun","A1","Oxford 3000"
"thing","noun","A1","Oxford 3000"
"think","verb","A1","Oxford 3000"
"third","ordinal number","A1","Oxford 3000"
"thirsty","adjective","A1","Oxford 3000"
"thirteen","number","A1","Oxford 3000"
"thirty","number","A1","Oxford 3000"
"this","determiner","A1","Oxford 3000"
"this","pronoun","A1","Oxford 3000"
"thousand","number","A1","Oxford 3000"
"three","number","A1","Oxford 3000"
"through","adverb","A1","Oxford 3000"
"through","preposition","A1","Oxford 3000"
"thursday","noun","A1","Oxford 3000"
"ticket","noun","A1","Oxford 3000"
"time","noun","A1","Oxford 3000"
"tired","adjective","A1","Oxford 3000"
"title","noun","A1","Oxford 3000"
"to","infinitive marker","A1","Oxford 3000"
"to","preposition","A1","Oxford 3000"
"today","adverb","A1","Oxford 3000"
"today","noun","A1","Oxford 3000"
"together","adverb","A1","Oxford 3000"
"toilet","noun","A1","Oxford 3000"
"tomato","noun","A1","Oxford 3000"
"tomorrow","adverb","A1","Oxford 3000"
"tomorrow","noun","A1","Oxford 3000"
"tonight","adverb","A1","Oxford 3000"
"tonight","noun","A1","Oxford 3000"
"too","adverb","A1","Oxford 3000"
"tooth","noun","A1","Oxford 3000"
"topic","noun","A1","Oxford 3000"
"tourist","noun","A1","Oxford 3000"
"town","noun","A1","Oxford 3000"
"traffic","noun","A1","Oxford 3000"
"train","noun","A1","Oxford 3000"
"travel","noun","A1","Oxford 3000"
"travel","verb","A1","Oxford 3000"
"tree","noun","A1","Oxford 3000"
"trip","noun","A1","Oxford 3000"
"trousers","noun","A1","Oxford 3000"
"true","adjective","A1","Oxford 3000"
"try","verb","A1","Oxford 3000"
"t-shirt","noun","A1","Oxford 3000"
"tuesday","noun","A1","Oxford 3000"
"turn","noun","A1","Oxford 3000"
"turn","verb","A1","Oxford 3000"
"tv","noun","A1","Oxford 3000"
"twelve","number","A1","Oxford 3000"
"twenty","number","A1","Oxford 3000"
"twice","adverb","A1","Oxford 3000"
"two","number","A1","Oxford 3000"
"type","noun","A1","Oxford 3000"
"umbrella","noun","A1","Oxford 3000"
"uncle","noun","A1","Oxford 3000"
"under","adverb","A1","Oxford 3000"
"under","preposition","A1","Oxford 3000"
"understand","verb","A1","Oxford 3000"
"university","noun","A1","Oxford 3000"
"until","conjunction","A1","Oxford 3000"
"until","preposition","A1","Oxford 3000"
"up","adverb","A1","Oxford 3000"
"up","preposition","A1","Oxford 3000"
"upstairs","adverb","A1","Oxford 3000"
"us","pronoun","A1","Oxford 3000"
"use","verb","A1","Oxford 3000"
"useful","adjective","A1","Oxford 3000"
"usually","adverb","A1","Oxford 3000"
"vacation","noun","A1","Oxford 3000"
"vegetable","noun","A1","Oxford 3000"
"very","adverb","A1","Oxford 3000"
"video","noun","A1","Oxford 3000"
"village","noun","A1","Oxford 3000"
"visit","noun","A1","Oxford 3000"
"visit","verb","A1","Oxford 3000"
"visitor","noun","A1","Oxford 3000"
"wait","verb","A1","Oxford 3000"
"waiter","noun","A1","Oxford 3000"
"wake","verb","A1","Oxford 3000"
"walk","noun","A1","Oxford 3000"
"walk","verb","A1","Oxford 3000"
"wall","noun","A1","Oxford 3000"
"want","verb","A1","Oxford 3000"
"warm","adjective","A1","Oxford 3000"
"wash","verb","A1","Oxford 3000"
"watch","noun","A1","Oxford 3000"
"watch","verb","A1","Oxford 3000"
"water","noun","A1","Oxford 3000"
"way","noun","A1","Oxford 3000"
"we","pronoun","A1","Oxford 3000"
"wear","verb","A1","Oxford 3000"
"weather","noun","A1","Oxford 3000"
"website","noun","A1","Oxford 3000"
"wednesday","noun","A1","Oxford 3000"
"week","noun","A1","Oxford 3000"
"weekend","noun","A1","Oxford 3000"
"welcome","adjective","A1","Oxford 3000"
"welcome","exclamation","A1","Oxford 3000"
"welcome","verb","A1","Oxford 3000"
"well","adjective","A1","Oxford 3000"
"well","adverb","A1","Oxford 3000"
"well","exclamation","A1","Oxford 3000"
"west","adjective","A1","Oxford 3000"
"west","adverb","A1","Oxford 3000"
"west","noun","A1","Oxford 3000"
"what","determiner","A1","Oxford 3000"
"what","pronoun","A1","Oxford 3000"
"when","adverb","A1","Oxford 3000"
"when","conjunction","A1","Oxford 3000"
"when","pronoun","A1","Oxford 3000"
"where","adverb","A1","Oxford 3000"
"where","conjunction","A1","Oxford 3000"
"which","determiner","A1","Oxford 3000"
"which","pronoun","A1","Oxford 3000"
"white","adjective","A1","Oxford 3000"
"white","noun","A1","Oxford 3000"
"who","pronoun","A1","Oxford 3000"
"why","adverb","A1","Oxford 3000"
"wife","noun","A1","Oxford 3000"
"will","modal verb","A1","Oxford 3000"
"win","verb","A1","Oxford 3000"
"window","noun","A1","Oxford 3000"
"wine","noun","A1","Oxford 3000"
"winter","noun","A1","Oxford 3000"
"with","preposition","A1","Oxford 3000"
"without","preposition","A1","Oxford 3000"
"woman","noun","A1","Oxford 3000"
"wonderful","adjective","A1","Oxford 3000"
"word","noun","A1","Oxford 3000"
"work","noun","A1","Oxford 3000"
"work","verb","A1","Oxford 3000"
"worker","noun","A1","Oxford 3000"
"world","noun","A1","Oxford 3000"
"would","modal verb","A1","Oxford 3000"
"write","verb","A1","Oxford 3000"
"writer","noun","A1","Oxford 3000"
"writing","noun","A1","Oxford 3000"
"wrong","adjective","A1","Oxford 3000"
"yeah","exclamation","A1","Oxford 3000"
"year","noun","A1","Oxford 3000"
"yellow","adjective","A1","Oxford 3000"
"yellow","noun","A1","Oxford 3000"
"yes","exclamation","A1","Oxford 3000"
"yesterday","adverb","A1","Oxford 3000"
"yesterday","noun","A1","Oxford 3000"
"you","pronoun","A1","Oxford 3000"
"young","adjective","A1","Oxford 3000"
"your","determiner","A1","Oxford 3000"
"yourself","pronoun","A1","Oxford 3000"
